schoolID,rms,win,openWin,opSpFan,pOpSpFan,nOpSpFan,opExFan,pOpExFan,nOpExFan,opVent,pOpVent,nOpVent
M190,43,43,43,38,0,0,2,0,0,0,0,0
R007,137,111,111,12,0,0,92,0,1,0,0,0
M898,51,21,21,34,0,0,17,0,28,0,0,0
M114,53,28,26,38,0,1,51,0,0,0,0,0
X701,16,14,14,14,0,0,3,0,0,0,0,0
Q096,38,36,35,1,0,17,23,0,1,0,0,0
K003,93,69,69,51,0,0,44,0,17,0,0,0
Q266,129,53,51,86,0,2,83,0,34,0,0,0
X279,116,68,67,46,1,40,46,1,28,0,0,0
M178,70,31,30,35,0,17,16,0,52,1,0,0
X184,217,127,127,53,0,12,109,0,30,2,0,0
Q430,168,144,143,8,0,3,10,2,107,0,0,0
K221,70,70,70,3,0,0,40,0,12,41,0,0
Q313,75,36,34,59,0,19,42,0,32,0,0,0
M540,120,104,102,9,0,6,85,0,12,59,0,0
K395,111,83,82,92,0,7,57,0,42,2,0,0
Q069,110,72,71,72,0,4,72,2,30,20,0,0
K150,95,87,83,1,0,0,9,1,7,0,0,0
M126,68,66,66,4,0,0,23,3,25,57,0,3
R069,174,77,76,61,0,1,147,5,3,1,0,0
X088,46,35,35,4,0,4,22,0,4,0,0,0
K023,87,67,67,3,0,0,69,0,7,0,0,0
Q811,79,62,58,4,0,1,45,0,3,0,0,0
K312,82,67,67,6,0,0,56,0,6,0,0,0
M195,188,74,74,38,2,46,110,6,48,1,0,0
Q209,71,66,65,54,0,0,44,0,7,0,0,0
Q046,64,60,57,3,0,0,46,0,4,0,0,0
Q595,45,42,38,0,0,0,5,0,1,0,0,0
Q009,37,37,37,0,0,0,5,0,1,1,0,0
X118,89,87,83,5,0,0,42,0,10,34,0,10
X170,63,34,34,13,0,5,14,2,32,18,1,2
X008,73,57,55,4,0,5,21,0,39,0,0,0
M128,99,91,91,2,0,0,56,0,18,15,0,0
K043,103,103,95,2,0,0,80,1,11,1,0,0
Q212,117,40,40,74,0,15,68,0,43,38,0,2
M011,89,81,67,14,4,37,50,1,20,0,0,0
R825,53,40,40,5,0,0,41,0,0,0,0,0
K207,70,75,75,2,0,2,52,0,1,3,0,26
K380,152,68,68,53,0,8,111,1,47,14,0,0
K600,201,180,170,11,2,9,33,2,17,23,1,40
M131,149,104,103,38,1,1,85,6,48,101,0,2
Q025,139,72,73,7,0,0,123,0,2,39,1,4
Q196,94,69,69,20,6,5,47,5,32,0,0,0
M030,165,118,111,1,0,4,80,8,45,0,0,0
M057,88,79,79,4,0,0,74,0,0,0,0,0
K157,97,92,90,0,0,1,17,31,30,0,0,0
Q008,145,127,124,16,0,1,26,16,69,1,0,0
Q198,82,77,77,67,0,9,76,0,2,0,0,0
X401,133,113,113,8,0,0,114,0,3,0,0,0
K244,96,98,98,43,0,1,36,0,42,0,0,0
K994,33,14,14,9,0,2,24,0,9,15,1,0
M873,53,23,16,53,0,0,10,0,0,0,0,0
M142,120,56,56,39,0,1,103,0,10,0,0,1
X450,299,239,230,25,0,15,232,2,18,0,0,0
M371,26,26,26,0,0,0,0,0,0,0,0,0
K081,119,108,107,2,0,2,33,0,65,0,0,1
Q251,52,35,35,1,0,25,25,1,38,0,0,0
M660,60,64,55,15,0,0,0,0,0,59,1,1
M920,46,20,20,37,0,1,26,0,8,3,0,0
Q515,130,91,66,86,0,54,6,0,23,77,0,8
M877,75,59,53,46,1,21,13,0,11,36,0,15
M833,81,36,0,67,8,4,29,4,43,0,0,0
X032,96,84,79,24,0,0,4,0,49,0,0,0
K186,89,86,86,4,0,58,9,0,52,0,0,0
K376,69,54,49,49,3,3,61,13,1,48,0,0
M965,61,31,31,61,0,0,24,0,33,0,0,0
K261,86,75,75,6,0,0,68,0,1,0,0,0
Q136,75,72,71,2,0,2,9,1,44,38,0,6
K327,73,66,66,3,0,0,39,7,22,0,0,0
K243,97,82,82,3,0,9,17,0,60,0,0,0
X972,77,44,41,48,8,10,18,4,58,0,0,0
M101,121,126,107,5,0,2,53,0,35,1,0,0
M171,95,92,92,2,0,0,25,0,24,0,0,0
K034,47,52,51,0,0,0,3,0,0,0,0,0
K437,117,64,55,77,2,0,64,17,32,0,0,0
X660,113,106,103,3,1,3,5,1,29,0,0,0
Q171,74,72,72,34,12,1,51,4,0,0,0,0
K305,82,60,60,3,0,0,19,30,21,0,0,0
Q060,88,69,62,3,0,0,69,0,3,1,0,3
X046,137,106,100,36,20,45,36,40,44,29,0,3
R062,82,44,40,14,3,43,30,7,47,0,0,0
Q165,83,76,76,65,1,1,78,1,0,59,0,1
K165,68,64,62,1,0,45,37,0,10,0,0,0
K192,82,81,79,55,0,4,11,0,27,0,0,0
K650,132,122,122,4,1,0,73,1,44,0,0,0
Q080,83,70,71,11,0,19,46,1,17,0,0,0
X034,76,59,59,55,0,0,76,0,0,22,0,0
K857,61,41,41,59,0,2,10,0,34,0,0,0
M137,87,60,60,2,0,1,21,3,43,2,0,2
X012,104,81,63,1,28,5,1,36,17,0,0,0
Q722,111,58,57,94,3,4,90,4,14,0,0,0
K183,83,88,87,0,0,59,0,0,68,0,0,0
M218,121,92,91,105,0,0,120,0,0,0,0,0
M208,77,66,65,0,0,3,11,32,27,1,0,0
K902,73,67,66,7,0,0,28,24,13,49,0,3
K152,115,86,86,23,3,0,99,5,5,10,0,0
R027,143,110,110,12,0,1,116,2,2,0,0,0
K275,122,105,103,15,0,0,94,0,12,81,0,15
Q600,166,122,115,54,0,15,3,0,94,0,0,31
M015,71,61,61,0,0,0,27,3,18,0,0,0
K290,71,43,41,51,0,17,52,0,19,0,0,0
Q161,107,60,60,56,14,6,25,8,77,0,0,0
K078,161,113,113,0,0,0,151,0,2,0,0,0
Q152,99,98,96,34,0,65,72,0,27,0,0,0
Q695,125,63,61,104,4,6,93,7,29,3,0,0
M183,55,52,52,1,7,1,2,7,1,1,5,0
M234,67,46,44,48,0,0,42,0,23,3,1,0
K455,311,104,104,157,4,33,181,7,118,1,0,13
X028,91,85,84,12,0,0,4,0,34,1,0,0
X180,157,80,79,136,0,14,121,0,44,3,0,2
X156,111,88,88,3,0,0,49,0,38,0,0,0
X161,116,100,99,3,0,73,53,0,47,0,0,0
Q298,107,66,64,111,0,0,117,0,0,0,0,0
K179,78,79,79,1,0,0,23,0,20,0,0,0
K865,72,62,62,0,0,72,0,0,72,35,0,5
K189,67,88,87,0,0,2,1,1,89,0,0,0
K338,133,70,64,93,1,9,85,2,44,0,0,3
Q022,67,60,60,3,0,0,39,0,14,0,0,0
K149,93,95,94,5,0,0,12,0,2,0,0,0
M152,111,104,102,8,0,0,13,0,42,14,0,22
K123,79,90,88,0,0,90,0,0,29,0,0,0
M050,143,54,48,43,0,20,87,4,23,14,0,0
K299,74,73,73,22,1,0,55,3,3,10,0,11
Q047,32,28,27,12,5,1,18,4,7,1,0,5
X852,34,7,7,15,1,18,15,2,15,0,0,0
M661,47,46,43,14,0,0,45,0,2,2,0,0
R021,40,43,43,10,0,0,9,0,2,0,0,0
K260,61,51,51,4,0,0,31,0,16,0,0,0
Q315,120,83,0,90,0,0,97,0,17,1,0,0
M010,150,113,112,9,0,11,60,7,60,0,0,0
K313,134,68,66,69,5,24,19,0,102,60,0,0
Q452,205,120,113,80,0,30,31,0,145,65,0,1
Q144,138,98,93,40,1,4,83,0,29,5,0,26
K318,140,100,100,17,0,1,119,0,8,0,0,1
K135,59,65,65,24,0,3,11,0,40,0,0,0
K778,29,24,24,0,0,0,0,0,9,0,0,0
X061,81,77,75,3,0,22,7,0,52,1,0,1
K415,173,177,173,3,0,1,15,0,4,123,6,0
K124,41,40,40,0,0,1,5,0,1,0,0,0
Q242,54,33,31,37,0,1,29,0,26,0,0,0
M485,169,116,114,79,9,11,61,13,108,79,1,4
Q051,39,24,24,6,0,6,2,0,41,20,0,7
Q268,71,59,57,61,1,12,52,3,27,0,0,0
M043,124,121,120,12,0,2,18,1,22,75,0,18
K099,69,69,68,0,0,51,33,7,18,0,0,0
K505,229,172,170,23,3,11,34,4,12,56,3,52
K540,228,165,161,32,0,2,98,1,52,0,0,1
X790,275,153,144,150,0,46,98,0,131,0,0,2
X076,68,68,68,2,0,3,2,0,3,40,0,0
X039,82,75,75,3,0,0,20,0,7,0,0,0
X085,103,89,89,2,0,4,35,0,20,18,0,28
X405,306,169,167,102,4,31,150,9,110,0,0,0
X140,84,69,69,5,0,0,44,0,24,0,0,0
K056,77,68,67,2,0,0,60,2,14,0,0,0
Q336,77,70,70,14,0,8,24,0,22,0,0,0
K450,301,192,192,57,2,18,152,15,90,0,0,0
K177,84,82,77,1,0,44,8,0,27,4,0,5
K263,116,100,100,5,0,0,83,0,16,0,0,0
M189,126,103,100,44,0,38,55,0,53,0,0,0
X338,113,55,55,91,0,0,103,0,0,0,0,0
K196,107,100,98,1,0,59,10,0,70,0,0,4
Q169,74,55,55,3,0,0,60,0,2,0,0,0
K239,111,114,113,6,0,0,73,0,16,0,0,65
